benchmark,affinity,slope,intercept,runtime
dijkstra,A53,0.23314576396596345,0.2128052349241596,0.017500879063184323
fft,A53,0.20275347761746207,0.22218298187199537,0.00033232070194866243
membench_rw_r_1M,A53,0.528407898631151,0.5471335553089167,0.8142469643714569
membench_rw_r_4M,A53,0.2865804291527929,1.5444199038105815,7.146748437131166
prime,A53,0.20789326674065864,0.21850073991860874,3.721830657801801e-07
sha,A53,0.27605310765815777,0.2241903440621531,0.00045358182676078656
susan,A53,0.17646437291897912,0.2332513318534959,0.020493904139768673
test3,A53,0.3425862375138736,0.24792802441731343,0.06714333775369323
tinyrenderer,A53,0.2966801886792449,0.9631959489456179,0.9526312909901501
dijkstra,A72,0.9142523307436176,0.21092103218646052,0.010808848705159775
fft,A72,1.2006438401775794,0.2308888457269722,0.00011422267368605733
membench_rw_r_1M,A72,0.7548114872364033,1.2632852941176473,0.6061252999084921
membench_rw_r_4M,A72,0.5586213096559369,1.5929239178690358,5.44525582842749
prime,A72,1.0911109877913434,0.14148845726970105,1.9919261791450282e-07
sha,A72,1.467047114317424,0.15959955604883547,0.00017011427769022004
susan,A72,1.2197184239733616,0.17451109877913673,0.005638090946887502
test3,A72,1.2978978912319654,0.18369123196448367,0.03477412219590766
tinyrenderer,A72,1.2787250832408432,0.9250014983351829,0.40852856995106923
